GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gateway,com.reddot.gateway.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Gateway,com.reddot.gateway.web.rest.vm,ManagedUserVM,4,10,0,0,1,5,1,3,1,3
Gateway,com.reddot.gateway.web.rest.vm,RouteVM,24,0,0,0,10,0,7,0,7,0
Gateway,com.reddot.gateway.web.rest.vm,LoginVM,6,24,0,0,1,10,1,7,1,7
Gateway,com.reddot.gateway.config.apidocs,GatewaySwaggerResourcesProvider,107,0,2,0,29,0,8,0,7,0
Gateway,com.reddot.gateway.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Gateway,com.reddot.gateway.repository.rowmapper,UserRowMapper,125,6,0,0,14,3,1,1,1,1
Gateway,com.reddot.gateway,GatewayApp,134,24,10,2,28,10,9,3,3,3
Gateway,com.reddot.gateway.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
Gateway,com.reddot.gateway.service,UserService,7,689,6,14,1,175,6,51,0,47
Gateway,com.reddot.gateway.service,UsernameAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Gateway,com.reddot.gateway.service,MailService,7,174,1,1,2,40,1,6,0,6
Gateway,com.reddot.gateway.service,EntityManager.LinkTable,21,0,0,0,8,0,1,0,1,0
Gateway,com.reddot.gateway.service,ColumnConverter,53,10,10,0,11,4,7,1,2,1
Gateway,com.reddot.gateway.service,EntityManager,302,17,22,0,62,6,24,1,13,1
Gateway,com.reddot.gateway.service,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Gateway,com.reddot.gateway.web.filter,ModifyServersOpenApiFilter.ModifyServersOpenApiInterceptor,268,0,12,0,62,0,16,0,10,0
Gateway,com.reddot.gateway.web.filter,SpaWebFilter,37,16,13,1,7,5,7,2,0,2
Gateway,com.reddot.gateway.web.filter,ModifyServersOpenApiFilter,45,9,4,0,8,3,4,3,2,3
Gateway,com.reddot.gateway.security.jwt,JWTRelayGatewayFilterFactory,67,6,10,0,12,3,8,1,3,1
Gateway,com.reddot.gateway.security.jwt,TokenProvider,78,108,3,3,17,25,5,3,3,2
Gateway,com.reddot.gateway.security.jwt,JWTFilter,25,28,6,2,3,9,4,3,0,3
Gateway,com.reddot.gateway.repository,UserSqlHelper,105,0,0,0,15,0,2,0,2,0
Gateway,com.reddot.gateway.repository,UserRepositoryInternalImpl,5,224,1,3,1,47,1,17,0,16
Gateway,com.reddot.gateway.security,DomainUserDetailsService,6,95,0,4,0,23,1,7,1,5
Gateway,com.reddot.gateway.security,SecurityUtils,89,23,6,2,25,8,15,3,11,3
